workload,arbitration_mode,hot_shards,runs,threads,committed_tx_per_sec_mean,hot_path_ratio_mean,queue_wait_us_p99_mean,queue_length_p95_mean,service_time_us_p95_mean,invariant_violations,duplicate_commits
high_hot16_write100,global,1,2,8;16,1818103.50,1.000,1.00,11.00,1.00,0,0
high_hot16_write100,per_object,1,2,8;16,944108.00,1.000,432.50,4.00,1.00,0,0
high_hot16_write100,per_shard,4,2,8;16,1453542.00,1.000,1.00,11.00,1.00,0,0
high_hot16_write100,per_shard,8,2,8;16,1100688.50,1.000,210.50,9.00,1.00,0,0
high_hot16_write100,per_shard,16,2,8;16,609688.50,1.000,485.00,4.00,1.00,0,0
high_hot1_write100,global,1,2,8;16,1832659.00,0.950,1.00,11.00,1.00,0,0
high_hot1_write100,per_object,1,2,8;16,1790363.50,0.950,1.00,11.00,1.00,0,0
high_hot1_write100,per_shard,4,2,8;16,1833978.00,0.950,1.00,11.00,1.00,0,0
high_hot1_write100,per_shard,8,2,8;16,1698969.00,0.955,1.00,11.00,1.00,0,0
high_hot1_write100,per_shard,16,2,8;16,1827109.50,0.950,1.00,11.00,1.00,0,0
low_uniform_read95,global,1,2,8;16,2372008.50,0.035,1341.00,11.00,1.00,0,0
low_uniform_read95,per_object,1,2,8;16,1453632.50,0.010,3212.50,7.50,42.00,0,0
low_uniform_read95,per_shard,4,2,8;16,2123180.50,0.065,1264.00,11.00,1.00,0,0
low_uniform_read95,per_shard,8,2,8;16,1536679.00,0.010,3274.50,7.50,32.00,0,0
low_uniform_read95,per_shard,16,2,8;16,1611665.00,0.025,2624.00,11.00,33.50,0,0
zipf99_write100,global,1,2,8;16,421441.00,0.400,2252.00,11.00,1.00,0,0
zipf99_write100,per_object,1,2,8;16,347460.00,0.710,738.50,11.00,1.00,0,0
zipf99_write100,per_shard,4,2,8;16,426922.00,0.600,488.50,11.00,1.00,0,0
zipf99_write100,per_shard,8,2,8;16,419288.50,0.590,362.50,11.00,1.00,0,0
zipf99_write100,per_shard,16,2,8;16,413641.50,0.730,684.00,11.00,1.00,0,0
